Issue Id,Summary,Description,Issue Type,Priority,Epic Name,Epic Link,Parent Id
EPIC-CORE,Phase 1: Core Game Engine & Rules,"Implement the Monopoly core rule engine, turn system, board data, and core flows.",Epic,High,Core Engine & Rules,,
EPIC-MULTI,Phase 2: Multiplayer & Realtime Networking,"Realtime socket infrastructure, room management, reconnection, and broadcasting.",Epic,High,Multiplayer & Realtime,,
EPIC-UIUX,Phase 3: UI/UX & Accessibility,"Responsive board UI, animations, accessibility, mobile ergonomics.",Epic,High,UI/UX & A11y,,
EPIC-STATE,Phase 4: Persistence & Game State Management,"Save/resume games, profiles, history logs, recovery.",Epic,High,Persistence & State,,
EPIC-TEST,Phase 5: Testing & Quality Assurance,"Unit, integration, e2e, load, soak, fuzz tests and QA cycles.",Epic,High,Testing & QA,,
EPIC-OPS,"Phase 6: Deployment, CI/CD & Ops","Pipelines, environments, monitoring, logging, error handling, security.",Epic,High,Deployment & Ops,,
EPIC-POLISH,"Phase 7: Performance, Polish & Enhancements","Refactors, performance sweeps, feature flags, QoL enhancements.",Epic,Medium,Polish & Enhancements,,
EPIC-CARDS,"Phase 8: Cards, Auctions & Advanced Rules","Chance/Chest decks, auctions, house rules, and rare edge cases.",Epic,High,Cards & Advanced Rules,,
CORE-001,Board Schema Definition,"Define data model for 40 cells: properties, railroads, utilities, chance/chest, jail, go, tax, free parking, go to jail.",Story,High,,EPIC-CORE,
CORE-002,Dice Engine (2d6) with Doubles,Implement random 2d6 with doubles tracking and three-doubles-to-jail rule.,Story,High,,EPIC-CORE,
CORE-003,Token Movement,Move player tokens stepwise with pass-GO detection and salary.,Story,Medium,,EPIC-CORE,
CORE-004,Turn Sequencing,"Turn order, next-player logic, skip bankrupt players.",Story,High,,EPIC-CORE,
CORE-005,Go Salary Handling,Award salary on passing/landing on GO; configurable salary hook.,Story,Medium,,EPIC-CORE,
CORE-006,Property Purchase Flow,Prompt to buy unowned property with validation and bank transaction.,Story,Medium,,EPIC-CORE,
CORE-007,Rent Calculation,"Rent rules for color sets, houses, hotels; utilities by dice roll; railroads scaling rent.",Story,High,,EPIC-CORE,
CORE-008,House & Hotel Purchase,Rules for even-building within a color set; bank inventory limits.,Story,Medium,,EPIC-CORE,
CORE-009,Mortgage/Unmortgage Rules,"Mortgage valuation, 10% interest, rent disabled while mortgaged.",Story,Medium,,EPIC-CORE,
CORE-010,Income Tax & Luxury Tax,Implement fixed/percentage tax variants and payment to bank.,Story,Medium,,EPIC-CORE,
CORE-011,Free Parking (Configurable),Support $0 default and optional house rule pot.,Story,Medium,,EPIC-CORE,
CORE-012,Jail Entry & Exit Rules,"Jail via card, Go To Jail, or three doubles; exit by pay/doubles/card after 3 turns.",Story,High,,EPIC-CORE,
CORE-013,Bankruptcy to Player,Transfer assets to creditor when rent/fees owed to player.,Story,Medium,,EPIC-CORE,
CORE-014,Bankruptcy to Bank,"When debts owed to bank, assets return to bank; properties become unowned/mortgaged.",Story,Medium,,EPIC-CORE,
CORE-015,Auction Mechanic,Start auction when player declines purchase; timed bids; pass flow.,Story,High,,EPIC-CORE,
CORE-016,Trade System Basics,"Offer cash, properties, Get Out of Jail Free cards; accept/decline.",Story,Medium,,EPIC-CORE,
CORE-017,Illegal Move Guardrails,"Validate actions against state; block out-of-turn, insufficient funds, invalid builds.",Story,Medium,,EPIC-CORE,
CORE-018,Undo (Pre-Commit) Buffer,"Allow undo for client-local decisions before server commit (e.g., build placements).",Story,Medium,,EPIC-CORE,
CORE-019,Game Log (Server),Append-only log of actions with timestamps and player refs.,Story,Medium,,EPIC-CORE,
CORE-020,Bank Cash & Inventory,Track bank houses/hotels and depletion rules.,Story,Medium,,EPIC-CORE,
CORE-021,Resolve Multiple Rents,Handle cases of landing on multiple payable cells in a turn (cards chaining).,Story,Medium,,EPIC-CORE,
CORE-022,Turn Timeout & Auto-Pass,"Configurable timer; auto decisions where valid (e.g., decline buy).",Story,Medium,,EPIC-CORE,
CORE-023,Rebuy after Bankruptcy (Disabled),Ensure eliminated players cannot rejoin mid-game.,Story,Medium,,EPIC-CORE,
CORE-024,Edge: Insufficient Houses,"If bank runs out of houses/hotels, enforce auction of available pieces.",Story,Medium,,EPIC-CORE,
CORE-025,Edge: All Properties Mortgaged,Ensure rent collection skips mortgaged properties.,Story,Medium,,EPIC-CORE,
CORE-026,Edge: No Legal Build,Detect and prevent uneven builds within color set.,Story,Medium,,EPIC-CORE,
CORE-027,Edge: Negative Cash Mid-Chain,"If cash drops below 0 mid-resolution, trigger forced liquidation flow.",Story,Medium,,EPIC-CORE,
CORE-028,Edge: Passing GO in Card Move,Ensure salary is applied when cards move token past GO.,Story,Medium,,EPIC-CORE,
CORE-029,Edge: Start in Jail First Turn,Handle doubles and pay/card options correctly when starting in jail.,Story,Medium,,EPIC-CORE,
CORE-030,Refactor Core Engine Modules,"Split movement, payments, and rules into composable modules and pure functions.",Story,Medium,,EPIC-CORE,
MULTI-001,Room Create/Join/Leave,"Create rooms with codes, join/leave flows, host controls.",Story,High,,EPIC-MULTI,
MULTI-002,Ready/Start Flow,Players toggle ready; host starts when all ready or minimum met.,Story,Medium,,EPIC-MULTI,
MULTI-003,Socket Protocol v1,"Define event names, payload schemas, and error responses.",Story,High,,EPIC-MULTI,
MULTI-004,State Broadcast on Change,Emit authoritative state deltas on every committed action.,Story,High,,EPIC-MULTI,
MULTI-005,Reconnect & Resume,Allow reconnect with token; replay missed events.,Story,High,,EPIC-MULTI,
MULTI-006,Spectator Mode,Join as spectator without interaction privileges.,Story,Medium,,EPIC-MULTI,
MULTI-007,Latency Measurement,Ping/pong and moving average latency per client.,Story,Medium,,EPIC-MULTI,
MULTI-008,Turn Authority Enforcement,Server checks and rejects out-of-turn actions.,Story,Medium,,EPIC-MULTI,
MULTI-009,Idempotent Actions,Deduplicate actions using client-generated ids.,Story,Medium,,EPIC-MULTI,
MULTI-010,Heartbeat & Presence,"Detect disconnects; soft lock, reassign host if needed.",Story,Medium,,EPIC-MULTI,
MULTI-011,Action Queue & Ordering,Total order guarantees per room; conflict resolution.,Story,Medium,,EPIC-MULTI,
MULTI-012,Error/Event Codes Catalog,Documented error codes and recoverable flows.,Story,Medium,,EPIC-MULTI,
MULTI-013,Chat & Emojis,In-room chat with emojis/stickers; mute/report options.,Story,Medium,,EPIC-MULTI,
MULTI-014,Invite Links,Create sharable invite URLs with room and role.,Story,Medium,,EPIC-MULTI,
MULTI-015,Private vs Public Rooms,Room visibility modes and listing.,Story,Medium,,EPIC-MULTI,
MULTI-016,Rate Limiting,Throttling abusive clients per endpoint/event.,Story,Medium,,EPIC-MULTI,
MULTI-017,Cheat Detection Hooks,Server-side sanity checks; suspicious pattern flags.,Story,Medium,,EPIC-MULTI,
MULTI-018,Moderation Tools,"Kick/ban, transfer host, lock room.",Story,Medium,,EPIC-MULTI,
MULTI-019,Version Handshake,Client/server compatibility check; upgrade notice.,Story,Medium,,EPIC-MULTI,
MULTI-020,Persisted Room Metadata,Save minimal room info for audit and resume.,Story,Medium,,EPIC-MULTI,
MULTI-021,Graceful Shutdown,Drain rooms on deploy; notify clients.,Story,Medium,,EPIC-MULTI,
